OBJECTID	ICNUM	CPNM	IDC	CROPNAME	BIO_E	HVSTI	BLAI	FRGRW1	LAIMX1	FRGRW2	LAIMX2	DLAI	CHTMX	RDMX	T_OPT	T_BASE	CNYLD	CPYLD	BN1	BN2	BN3	BP1	BP2	BP3	WSYF	USLE_C	GSI	VPDFR	FRGMAX	WAVP	CO2HI	BIOEHI	RSDCO_PL	OV_N	CN2A	CN2B	CN2C	CN2D	FERTFIELD	ALAI_MIN	BIO_LEAF	MAT_YRS	BMX_TREES	EXT_COEF	BM_DIEOFF	OpSchedule
35	35	TIMO	6	Timothy	35.00	0.90	4.00	0.15	0.01	0.50	0.95	0.85	0.80	2.00	25.00	8.00	0.02	3.3e-03	0.03	0.01	0.01	3.8e-03	2.5e-03	1.9e-03	0.90	3.0e-03	5.0e-03	4.00	0.75	8.00	660.00	45.00	0.05	0.10	31.00	59.00	72.00	79.00	0	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
36	36	BROS	6	Smooth Bromegrass	35.00	0.90	5.00	0.15	0.01	0.50	0.95	0.85	1.20	2.00	25.00	8.00	0.02	3.3e-03	0.04	0.02	0.01	2.8e-03	1.7e-03	1.1e-03	0.90	3.0e-03	3.0e-03	4.00	0.75	8.00	660.00	45.00	0.05	0.10	31.00	59.00	72.00	79.00	0	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
37	37	BROM	6	Meadow Bromegrass	35.00	0.90	3.00	0.45	0.02	0.80	0.95	0.85	0.80	1.30	25.00	6.00	0.02	3.3e-03	0.04	0.02	0.01	2.8e-03	1.7e-03	1.1e-03	0.90	3.0e-03	5.0e-03	4.00	0.75	8.00	660.00	45.00	0.05	0.10	31.00	59.00	72.00	79.00	0	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
38	38	FESC	6	Tall Fescue	30.00	0.90	4.00	0.15	0.01	0.50	0.95	0.80	1.50	2.00	15.00	0.00	0.02	3.3e-03	0.05	0.02	0.01	9.9e-03	2.2e-03	1.9e-03	0.90	3.0e-03	5.0e-03	4.00	0.75	8.00	660.00	39.00	0.05	0.10	31.00	59.00	72.00	79.00	0	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
39	39	BLUG	6	Kentucky Bluegrass	18.00	0.90	2.00	0.05	0.05	0.30	0.70	0.35	0.20	1.40	25.00	12.00	0.01	2.2e-03	0.02	0.01	6.0e-03	1.4e-03	1.0e-03	7.0e-04	0.90	3.0e-03	5.0e-03	4.00	0.75	10.00	660.00	31.00	0.05	0.10	31.00	59.00	72.00	79.00	0	0.00	0.00	0.00	0.00	1.40	0.10	AGRR
40	40	BERM	6	Bermudagrass	35.00	0.90	4.00	0.05	0.05	0.49	0.95	0.99	0.50	2.00	25.00	12.00	0.02	3.3e-03	0.06	0.02	0.01	8.4e-03	3.2e-03	1.9e-03	0.90	3.0e-03	5.0e-03	4.00	0.75	10.00	660.00	36.00	0.05	0.10	31.00	59.00	72.00	79.00	0	0.00	0.00	0.00	0.00	1.00	0.10	AGRR
41	41	CWGR	6	Crested Wheatgrass	35.00	0.90	4.00	0.35	0.02	0.62	0.95	0.85	0.90	1.30	25.00	6.00	0.05	4.0e-03	0.03	0.02	0.01	2.0e-03	1.5e-03	1.3e-03	0.90	3.0e-03	5.0e-03	4.00	0.75	8.00	660.00	38.00	0.05	0.10	31.00	59.00	72.00	79.00	0	0.00	0.00	0.00	0.00	0.40	0.10	AGRR
42	42	WWGR	6	Western Wheatgrass	35.00	0.90	4.00	0.50	0.02	0.89	0.95	0.85	0.60	1.30	25.00	6.00	0.05	4.0e-03	0.03	0.02	0.01	2.0e-03	1.5e-03	1.3e-03	0.90	3.0e-03	8.0e-03	4.00	0.75	8.00	660.00	45.00	0.05	0.10	31.00	59.00	72.00	79.00	0	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
43	43	SWGR	6	Slender Wheatgrass	35.00	0.90	4.00	0.15	0.01	0.50	0.95	0.85	0.70	2.00	25.00	8.00	0.05	4.0e-03	0.03	0.02	0.01	2.0e-03	1.5e-03	1.3e-03	0.90	3.0e-03	5.0e-03	4.00	0.75	8.00	660.00	45.00	0.05	0.10	31.00	59.00	72.00	79.00	0	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
44	44	RYEG	5	Italian (Annual) Ryegrass	30.00	0.90	4.00	0.20	0.32	0.45	0.95	0.50	0.80	1.30	18.00	0.00	0.02	2.8e-03	0.06	0.02	0.01	0.01	4.0e-03	2.4e-03	0.90	0.03	5.0e-03	4.00	0.75	6.00	660.00	39.00	0.05	0.10	31.00	59.00	72.00	79.00	0	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
45	45	RYER	6	Russian Wildrye	30.00	0.90	3.00	0.35	0.02	0.62	0.95	0.80	1.00	1.30	15.00	0.00	0.02	3.7e-03	0.02	0.01	0.01	4.0e-03	4.0e-03	2.4e-03	0.90	0.03	6.0e-03	4.00	0.75	8.00	660.00	39.00	0.05	0.10	31.00	59.00	72.00	79.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
46	46	RYEA	6	Altai Wildrye	30.00	0.90	3.00	0.35	0.02	0.62	0.95	0.80	1.10	1.30	15.00	0.00	0.02	3.7e-03	0.02	0.01	0.01	4.0e-03	4.0e-03	2.4e-03	0.90	0.03	5.0e-03	4.00	0.75	8.00	660.00	46.00	0.05	0.10	31.00	59.00	72.00	79.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
47	47	SIDE	6	Sideoats Grama	11.00	0.90	1.70	0.05	0.05	0.30	0.70	0.35	0.40	1.40	25.00	12.00	0.01	2.2e-03	0.02	0.01	6.0e-03	1.4e-03	1.0e-03	7.0e-04	0.90	3.0e-03	5.0e-03	4.00	0.75	10.00	660.00	21.00	0.05	0.10	31.00	59.00	72.00	79.00	0	0.00	0.00	0.00	0.00	1.12	0.10	AGRR
48	48	BBLS	6	Big Bluestem	14.00	0.90	3.00	0.05	0.10	0.25	0.70	0.35	1.00	2.00	25.00	12.00	0.01	2.2e-03	0.02	0.01	5.0e-03	1.4e-03	1.0e-03	7.0e-04	0.90	3.0e-03	5.0e-03	4.00	0.75	10.00	660.00	39.00	0.05	0.10	31.00	59.00	72.00	79.00	0	0.00	0.00	0.00	0.00	0.36	0.10	AGRR
49	49	LBLS	6	Little Bluestem	34.00	0.90	2.50	0.05	0.10	0.25	0.70	0.35	1.00	2.00	25.00	12.00	0.01	2.2e-03	0.02	0.01	5.0e-03	1.4e-03	1.0e-03	7.0e-04	0.90	3.0e-03	5.0e-03	4.00	0.75	10.00	660.00	39.00	0.05	0.10	31.00	59.00	72.00	79.00	0	0.00	0.00	0.00	0.00	0.36	0.10	AGRR
50	50	SWCH	6	Alamo Switchgrass	47.00	0.90	6.00	0.10	0.20	0.20	0.95	0.70	2.50	2.20	25.00	12.00	0.01	2.2e-03	0.03	0.01	3.8e-03	1.4e-03	1.0e-03	7.0e-04	0.90	3.0e-03	5.0e-03	4.00	0.75	8.50	660.00	54.00	0.05	0.10	31.00	59.00	72.00	79.00	1	0.00	0.00	0.00	0.00	0.33	0.10	AGRR
51	51	INDN	6	Indiangrass	34.00	0.90	3.00	0.05	0.10	0.25	0.70	0.35	1.00	2.00	25.00	12.00	0.01	2.2e-03	0.02	0.01	5.0e-03	1.4e-03	1.0e-03	7.0e-04	0.90	3.0e-03	5.0e-03	4.00	0.75	10.00	660.00	39.00	0.05	0.10	31.00	59.00	72.00	79.00	0	0.00	0.00	0.00	0.00	0.36	0.10	AGRR
52	52	ALFA	3	Alfalfa	20.00	0.90	4.00	0.15	0.01	0.50	0.95	0.90	0.90	3.00	20.00	4.00	0.02	3.5e-03	0.04	0.02	0.02	3.5e-03	2.8e-03	2.0e-03	0.90	0.01	0.01	4.00	0.75	10.00	660.00	35.00	0.05	0.06	31.00	59.00	72.00	79.00	0	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
53	53	CLVS	3	Sweetclover	25.00	0.90	4.00	0.15	0.01	0.50	0.95	0.75	1.50	2.40	15.00	1.00	0.06	4.0e-03	0.06	0.02	0.02	6.0e-03	2.4e-03	2.4e-03	0.90	3.0e-03	5.0e-03	4.00	0.75	10.00	660.00	30.00	0.05	0.06	31.00	59.00	72.00	79.00	0	0.00	0.00	0.00	0.00	0.55	0.10	AGRR
54	54	CLVR	2	Red Clover	25.00	0.90	4.00	0.15	0.01	0.50	0.95	0.75	0.75	1.50	15.00	1.00	0.06	4.0e-03	0.06	0.02	0.02	6.0e-03	2.4e-03	2.4e-03	0.90	3.0e-03	6.0e-03	4.00	0.75	10.00	660.00	30.00	0.05	0.06	31.00	59.00	72.00	79.00	0	0.00	0.00	0.00	0.00	0.55	0.10	AGRR
55	55	CLVA	3	Alsike Clover	25.00	0.90	4.00	0.15	0.01	0.50	0.95	0.75	0.90	2.00	15.00	1.00	0.06	4.0e-03	0.06	0.02	0.02	6.0e-03	2.5e-03	2.5e-03	0.90	3.0e-03	5.0e-03	4.00	0.75	10.00	660.00	30.00	0.05	0.06	31.00	59.00	72.00	79.00	0	0.00	0.00	0.00	0.00	0.55	0.10	AGRR
56	56	SOYB	1	Soybean	25.00	0.31	3.00	0.15	0.05	0.50	0.95	0.60	0.80	1.70	25.00	10.00	0.06	9.1e-03	0.05	0.02	0.02	7.4e-03	3.7e-03	3.5e-03	0.01	0.20	7.0e-03	4.00	0.75	8.00	660.00	34.00	0.05	0.14	67.00	78.00	85.00	89.00	0	0.00	0.00	0.00	0.00	0.45	0.10	AGRR
57	57	CWPS	1	Cowpeas	35.00	0.42	4.00	0.15	0.01	0.50	0.95	0.80	1.20	2.00	28.00	14.00	0.04	4.8e-03	0.06	0.02	0.01	4.9e-03	1.9e-03	1.1e-03	0.05	0.03	5.0e-03	4.00	0.75	8.00	660.00	39.00	0.05	0.14	67.00	78.00	85.00	89.00	0	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
58	58	MUNG	1	Mung Beans	25.00	0.31	4.00	0.15	0.01	0.50	0.95	0.90	1.50	2.00	30.00	15.00	0.04	4.0e-03	0.05	0.02	0.02	7.4e-03	3.7e-03	3.5e-03	0.01	0.20	5.0e-03	4.00	0.75	10.00	660.00	33.00	0.05	0.14	67.00	78.00	85.00	89.00	0	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
59	59	LIMA	1	Lima Beans	25.00	0.30	2.50	0.10	0.05	0.80	0.95	0.90	0.60	2.00	26.00	18.00	0.03	4.6e-03	4.0e-03	3.0e-03	1.5e-03	3.5e-03	3.0e-03	1.5e-03	0.22	0.20	5.0e-03	4.00	0.75	5.00	660.00	34.00	0.05	0.14	67.00	77.00	83.00	87.00	0	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
60	60	LENT	1	Lentils	20.00	0.61	4.00	0.15	0.02	0.50	0.95	0.90	0.55	1.20	20.00	3.00	0.05	5.1e-03	0.04	0.01	0.01	7.4e-03	3.7e-03	2.3e-03	0.01	0.20	5.0e-03	4.00	0.75	10.00	660.00	33.00	0.05	0.14	67.00	77.00	83.00	87.00	0	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
61	61	PNUT	1	Peanut	20.00	0.40	4.00	0.15	0.01	0.50	0.95	0.75	0.50	2.00	27.00	14.00	0.05	4.0e-03	0.05	0.02	0.02	7.4e-03	3.7e-03	3.5e-03	0.30	0.20	6.0e-03	4.00	0.75	4.00	660.00	25.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
